Product,Symbool/ISIN,Aantal,Slotkoers,Lokale waarde,Waarde in EUR
CASH & CASH FUND & FTX CASH (EUR),,,,EUR 153.93,"153,93"
AMAZON.COM INC. - COM,US0231351067,20,"126,42",USD 2528.40,"2334,47"
ASML HOLDING,NL0010273215,6,"681,70",EUR 4090.20,"4090,20"
AUTODESK INC. - COMMO,US0527691069,4,"213,55",USD 854.20,"788,68"
BALLARD POWER SYSTEMS,CA0585861085,135,"4,68",USD 631.80,"583,34"
BEYOND MEAT INC,US08862E1091,15,"13,54",USD 203.10,"187,52"
BLOCK INC.,US8522341036,7,"63,69",USD 445.83,"411,63"
CROWDSTRIKE HOLDINGS INC - A,US22788C1053,7,"153,96",USD 1077.72,"995,06"
DOCUSIGN INC. - COMMO,US2561631068,8,"54,10",USD 432.80,"399,60"
FIVERR INTERNATIONAL LTD,IL0011582033,12,"29,12",USD 349.44,"322,64"
ISHARES US T 7-10,IE00B1FZS798,1,"162,47",EUR 162.47,"162,47"
LEMONADE INC,US52567D1072,38,"20,17",USD 766.46,"707,67"
LULULEMON ATHLETICA IN,US5500211090,2,"377,21",USD 754.42,"696,56"
MICROSOFT CORPORATION,US5949181045,6,"337,34",USD 2024.04,"1868,80"
NETFLIX INC. - COMMON,US64110L1061,3,"440,86",USD 1322.58,"1221,14"
OKTA INC,US6792951054,3,"74,42",USD 223.26,"206,14"
OLD DOMINION FREIGHT L,US6795801009,7,"320,72",USD 2245.04,"2072,85"
PINTEREST INC. CLASS A COMMON S...,US72352L1061,30,"24,42",USD 732.60,"676,41"
POWERCELL SWEDEN,SE0006425815,50,"90,80",SEK 4540.00,"390,89"
ROKU INC,US77543R1023,3,"73,37",USD 220.11,"203,23"
ROYAL CARIBBEAN CRUISE,LR0008862868,15,"94,72",USD 1420.80,"1311,82"
SHELL PLC,GB00BP6MXD84,83,"27,33",EUR 2268.39,"2268,39"
SHOPIFY INC,CA82509L1076,25,"60,60",EUR 1515.00,"1515,00"
SHOPIFY INC. CLASS A S,CA82509L1076,40,"65,88",USD 2635.20,"2433,08"
SKILLZ INC,US83067L1098,386,"0,66",USD 254.76,"235,22"
SNOWFLAKE INC.,US8334451098,3,"167,00",EUR 501.00,"501,00"
TAKE-TWO INTERACTIVE S,US8740541094,2,"136,63",USD 273.26,"252,30"
UNITY SOFTWARE INC. COMMON STOCK,US91332U1016,8,"41,04",USD 328.32,"303,14"
UPSTART HOLDINGS INC. - COMMON ...,US91680M1071,25,"37,03",USD 925.75,"854,74"
VANGUARD FTSE AW,IE00B3RBWM25,62,"103,52",EUR 6418.24,"6418,24"
WALT DISNEY COMPANY (T,US2546871060,12,"92,45",USD 1109.40,"1024,31"
ZEBRA TECHNOLOGIES COR,US9892071054,4,"280,38",USD 1121.52,"1035,50"
ZOOM VIDEO COMMUNICATIONS-A,US98980L1017,4,"68,40",USD 273.60,"252,61"
